id,id_site,id_person,ids,infantdir,song,praat_f0_mean,praat_f0_median,praat_f0_std,praat_f0_min,praat_f0_max,praat_f0_first_quart,praat_f0_third_quart,praat_f0_IQR,praat_f1_mean,praat_f1_median,praat_f1_std,praat_f1_min,praat_f1_max,praat_f1_first_quart,praat_f1_third_quart,praat_f1_IQR,praat_f2_mean,praat_f2_median,praat_f2_std,praat_f2_min,praat_f2_max,praat_f2_first_quart,praat_f2_third_quart,praat_f2_IQR,praat_intensity_mean,praat_intensity_median,praat_intensity_std,praat_intensity_min,praat_intensity_max,praat_intensity_first_quart,praat_intensity_third_quart,praat_intensity_IQR,praat_intensitytravel_mean,praat_intensitytravel_median,praat_intensitytravel_std,praat_intensitytravel_max,praat_intensitytravel_first_quart,praat_intensitytravel_third_quart,praat_intensitytravel_IQR,praat_voweltravel_mean,praat_voweltravel_median,praat_voweltravel_std,praat_voweltravel_max,praat_voweltravel_first_quart,praat_voweltravel_third_quart,praat_voweltravel_IQR,praat_f0travel_mean,praat_f0travel_median,praat_f0travel_std,praat_f0travel_max,praat_f0travel_first_quart,praat_f0travel_third_quart,praat_f0travel_IQR,praat_f0_range,praat_f1_range,praat_f2_range,praat_intensity_range,praat_intensitytravel_range,praat_voweltravel_range,praat_f0travel_range,praat_f0travel_rate_median,praat_f0travel_rate_IQR,praat_voweltravel_rate_median,praat_voweltravel_rate_IQR,praat_intensitytravel_rate_median,praat_intensitytravel_rate_IQR,praat_f0_travel_rate_default,praat_voweltravel_rate_default,praat_intensitytravel_rate_default,mir_attack_mean,mir_attack_std,mir_attack_range,mir_attack_min,mir_attack_first_quart,mir_attack_median,mir_attack_third_quart,mir_attack_max,mir_attack_iqr,mir_attack_dist,mir_roughness_mean,mir_rolloff85,mir_inharmonicity,mir_roughness_std,mir_roughness_range,mir_roughness_first_quart,mir_roughness_median,mir_roughness_third_quart,mir_roughness_max,mir_roughness_iqr,mir_roughness_dist,mir_tempo,mir_pulseclarity,tm_peak_hz,tm_peak_idx,tm_std_idx,tm_std_hz,npvi_phrase,npvi_total,npvi_num_events
TOR25B,TOR,25,0,1,0,225.8156,221.64,80.62307983,101.11,522.32,193.32,254.24,60.92,636.1183285,506.89,386.2377012,143.13,2067.27,371.95,797.345,425.395,2077.423532,2081.275,396.088874,639.42,3276.53,1845.5075,2304.5025,458.995,49.3374564,47.995,4.226315812,41.71,64.01,46.2275,51.97,5.7425,2.019709724,1.43,2.908434392,48.52,0.73,2.61,1.88,346.4347142,178.4332372,407.7882748,2574.300868,69.7454555,473.7548845,404.009429,24.70150943,0,71.18739966,522.32,0,3.06,3.06,421.21,1924.14,2637.11,22.3,48.52,2574.275142,522.32,0,0.41125,21.02133833,44.36800481,0.152156863,0.269124424,2.284523081,32.04007039,0.186793179,4.432829016,6.091649269,35.378674,0.444549241,1.988262672,3.222733123,4.51770756,35.82322325,2.529444888,139.1886801,103.7554084,6867.9142,0.473522814,1.502724698,27.18238382,0.170875113,0.360137535,0.718289983,27.18238382,0.547414869,68.83163305,125.1098279,0.131098783,2.2325,34,163.7261,8.595621,58.30754821,65.12268453,41
TOR25C,TOR,25,0,0,1,206.4691954,218.63,49.97761721,102.71,336.75,189.36,232.51,43.15,453.2963687,428.7,181.3926686,133.71,1675.46,355.1625,507.145,151.9825,1827.866508,1828.87,384.4149859,900.5,2798.13,1566.6975,2115.51,548.8125,52.60997222,52.24,4.691050835,43.02,68.07,49.1075,55.975,6.8675,2.057055556,1.445,3.088140438,47.95,0.6075,2.57,1.9625,187.3238076,100.8076244,274.053035,1848.77034,42.2158162,199.4084964,157.1926802,33.84166667,1.825,71.82740706,336.75,0.275,9.7675,9.4925,234.04,1541.75,1897.63,25.05,47.95,1848.77034,336.75,0.349630189,2.663589445,19.51876687,46.12442118,0.26857332,0.463808078,5.966483525,33.02628156,0.362670911,2.713384095,1.782126667,7.66792552,0.531572808,1.652404505,2.308968128,3.162671572,8.199498328,1.510267066,31.7944943,68.4753532,3464.995193,0.408083565,1.723538454,34.26098834,0.170860317,0.349047328,0.689198493,34.26098834,0.518338176,78.39037748,105.1482981,0.088002783,1.4975,20,160.7085,8.437193,81.63222129,85.59865029,43
TOR25D,TOR,25,0,0,0,185.1753872,178.99,28.39732873,100,294.29,172.86,196.86,24,598.0836458,470.04,427.942289,87.13,2239.32,347.8575,625.2175,277.36,1923.713507,1903.285,444.947662,659.77,3340.86,1635.83,2155.75,519.92,50.81489583,50.235,4.485498914,42.23,63.46,47.1225,54.115,6.9925,1.99830156,1.38,3.095899712,49.47,0.69,2.48,1.79,329.2134,128.7794501,467.1109359,2521.496922,46.90368207,385.5545904,338.6509084,26.20980936,0.61,61.67059046,294.29,0,5.42,5.42,194.29,2152.19,2681.09,21.23,49.46,2521.401596,294.29,0.096695652000000007,1.055438596,18.72546059,53.55033327,0.167878788,0.354801349,2.892099611,36.32677876,0.220500923,5.316485094,2.484898442,13.22964742,1.428584283,3.530709619,4.615343682,6.67029119,14.6582317,3.139581571,104.0002429,93.02583608,7566.103077,0.47595607,0.992405886,11.02334336,0.228028275,0.465780866,0.919132749,11.02334336,0.691104474,63.97669621,86.90657609,0.087956358,0.9725,10,156.5354,8.218111,80.6152923,74.16966221,52
TOR26A,TOR,26,1,1,1,233.8323587,251.46,86.91461861,100.41,404.08,127.79,298.43,170.64,508.5360217,465.22,213.8638675,148.4,1960.18,351.115,633.16,282.045,1788.963396,1879.26,462.801819,495.52,3617.99,1475.305,2091.945,616.64,53.99912281,54.19,5.919008149,42.39,73.42,48.48,58.39,9.91,1.771916329,1.21,2.323416252,45.45,0.51,2.34,1.83,278.4271958,152.87505289999999,329.2931582,2572.667909,64.48382373,375.3108909,310.8270671,26.89176788,1.69,71.18118061,385.28,0,6.11,6.11,303.67,1811.78,3122.47,31.03,45.45,2572.667909,385.28,0.16210219,0.979393939,16.05645124,42.34698092,0.116363636,0.250404361,2.313261963,23.95063963,0.152422357,2.569328704,1.623935288,6.764504365,0.324243195,1.500403593,2.17436101,3.34124964,7.088747561,1.840846047,40.08467434,110.5862332,3618.293095,0.41357398,3.456508233,48.09580871,0.144886212,0.340161782,0.730459504,48.09580871,0.585573292,85.35864684,106.673198,0.085085218,1.4975,20,199.0672,10.45103,70.80997985,62.99846941,68
TOR26B,TOR,26,0,1,0,296.4665301,299.055,90.18434635,100.99,593.77,242.6475,342.46,99.8125,570.0991641,436.62,388.897693,84.37,2544.55,307.83,713.28,405.45,1981.126777,1964.19,426.3001519,352.83,3795.96,1766.89,2173.48,406.59,51.26952716,48.29,6.621456599,42.26,71.02,46.3625,55.495,9.1325,2.418229376,1.725,2.701654911,44.93,0.8025,3.235,2.4325,358.1452242,192.400254,435.8797306,2600.294472,64.6191392,461.768852,397.1497128,40.6131992,0,102.3238592,582.09,0,12.0525,12.0525,492.78,2460.18,3443.13,28.76,44.93,2599.756478,582.09,0,0.953272857,14.8450086,36.97401047,0.120989275,0.25030975,2.607060685,22.99021875,0.155232064,4.664409245,3.230052906,12.98581086,0.854940634,2.350319861,3.591779744,7.00256212,13.84075149,4.652242258,162.6314778,76.38861321,5575.312185,0.441572649,2.723933981,81.90164772,0.061302431,0.210115997,0.576250983,81.90164772,0.514948551,107.9483115,179.1462446,0.092136776,1.55,21,201.8855,10.59899,50.19873148,54.60981619,76
TOR26C,TOR,26,0,0,1,265.9290016,274.72,74.68094988,100.06,484.58,242.76,310,67.24,449.1532482,350.3,255.2957172,104.84,1773.72,299.885,510.1175,210.2325,1820.678477,1847.085,398.5421927,628.88,3353.61,1603.8325,2042.9425,439.11,53.78004401,53.83,5.755652353,42.55,73.59,49.0425,57.565,8.5225,1.999894459,1.37,2.686974316,50.16,0.63,2.64,2.01,252.3711564,135.7948122,340.9283852,2553.528353,51.88737312,292.575124,240.6877509,32.2944591,1.25,83.9544397,459.56,0,5.75,5.75,384.52,1668.88,2724.73,31.04,50.15,2553.476015,459.56,0.079681275,0.559824176,8.34207242,20.76114349,0.087272727,0.167535015,1.813019468,14.16818341,0.112274603,4.172535387,8.766814516,47.52406857,0.4873724,1.059684759,1.439339924,2.083418493,48.01144097,1.023733735,157.1671313,210.5339072,8226.209307,0.454492225,13.24729859,227.7311819,0.075402246,0.245892908,0.578829465,227.7311819,0.50342722,157.4400932,97.4664893,0.199193229,1.3925,18,189.6169,9.954887,69.73252419,66.52028861,108
TOR26D,TOR,26,0,0,0,236.0094811,221.24,67.69358765,100.59,568.8,204.0175,244.76,40.7425,567.6309479,472.095,359.2607003,88.89,2637.27,353.31,647.2925,293.9825,1923.863436,1901.69,445.0492834,719.37,3519.97,1688.6,2126.9625,438.3625,53.64601183,53.92,6.167049486,42.32,78.41,47.95,58.01,10.06,2.515200946,1.815,3.346257596,61.22,0.77,3.32,2.55,277.1993489,118.9759429,386.3527271,2613.507587,47.27484178,327.3127174,280.0378756,39.02061466,0.71,89.7597233,566.77,0,11.78,11.78,468.21,2548.38,2800.6,36.09,61.22,2613.507587,566.77,0.063032503,1.438454829,11.31764185,33.85246642,0.149201786,0.302433537,2.941475129,20.89600581,0.18960237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.1433509,7544.632959,0.475021398,32.18031783,910.817759,0.01835611,0.098598458,0.414329006,910.817759,0.395972897,218.0138213,87.01848689,0.088748845,1.865,27,178.3336,9.362512,40.50753323,55.58379202,92
TOR27A,TOR,27,1,1,1,289.8733173,253.275,111.5795039,113.1,586.88,203.8225,356.8825,153.06,642.2329635,579.34,300.2472188,167.7,1892.25,441.17,720.635,279.465,1879.869287,1925.35,440.7252401,557.42,3067.94,1572.27,2165.4,593.13,55.15878165,56.255,9.497891163,37.64,76,47.255,61.56,14.305,2.776946203,1.67,3.659356721,53.86,0.6175,3.7125,3.095,237.298849,116.2351855,304.5133659,2118.4469559999998,44.31596037,312.555478,268.2395177,45.73113924,2.42,108.4032223,586.88,0,13.255,13.255,473.78,1724.55,2510.52,38.36,53.86,2118.307581,586.88,0.236456156,2.018789769,15.81050765,40.33497851,0.193301842,0.489330626,4.609099725,23.9166152,0.279879797,3.908388766,3.132909024,10.90762475,0.368157388,1.057153321,3.873301852,5.873220148,11.27578214,4.816066827,63.7386509,111.8742804,6946.771145,0.441227098,8.968445081,133.1011597,0,0.010943912,0.583204182,133.1011597,0.583204182,273.753804,116.9247888,0.050084696,1.97,29,178.5422,9.373467,69.1183806,70.30283485,61
TOR27B,TOR,27,0,1,0,364.2012209,344.46,116.1356374,144.75,591.2,268.9,433.91,165.01,656.3052252,600.675,247.3334168,230.01,1929.41,483.0175,756.0275,273.01,1927.737387,1893.63,340.2331477,1026.59,3381.85,1697.36,2165.78,468.42,46.21503748,43.45,7.194326706,36.15,76.2,40.705,50.795,10.09,2.466416792,1.68,2.946055014,41.18,0.78,3.015,2.235,272.4536917,159.1755786,312.315638,2683.565851,69.5012225,369.2154397,299.7142172,42.35478261,0,115.7740984,589.44,0,4.925,4.925,446.45,1699.4,2355.26,40.05,41.17,2682.751971,589.44,0,0.513993024,18.19655448,43.94217681,0.164604317,0.364120219,4.045811874,26.02531079,0.235596967,2.438200946,2.026598584,7.692275131,0.09276665,1.151633329,2.18771903,3.32543006,7.785041781,2.173796731,21.52914195,145.0836821,11500.87538,0.464970162,12.11258963,356.2937929,0,2.38e-5,0.027291455,356.2937929,0.027291455,137.676859,178.9016256,0.103191382,1.76,25,140.3581,7.368798,64.93394962,54.83241964,35
TOR27C,TOR,27,0,0,1,206.6746419,209.905,47.90950655,100.17,416.27,183.245,239.5075,56.2625,489.0150129,435.23,242.1165949,73.11,2415.23,339.96,550.795,210.835,1840.291952,1833.07,404.4201443,847.65,3438.47,1564.755,2089.98,525.225,46.83204467,47.325,4.247277003,37.73,58.46,43,50.1725,7.1725,1.518634021,1.01,1.96951206,41.54,0.4675,1.94,1.4725,232.800628,104.7724248,332.2209622,2053.326827,42.75423805,277.859166,235.104928,20.47896907,0.84,60.07377727,416.27,0,2.9125,2.9125,316.1,2342.12,2590.82,20.73,41.54,2052.881518,416.27,0.053649596,0.23825446,7.949908075,19.73075842,0.065813653,0.130435368,1.123095194,12.76711076,0.083284005,5.107395383,3.267728233,14.65738071,1.163066703,3.079331501,3.752647064,5.767914766,15.82044741,2.688583265,254.6484117,51.36146,9938.162041,0.445957095,0.430408132,6.399609089,0.088522124,0.169272462,0.310124253,6.399834606,0.221602129,20.77397738,113.4653249,0.104779597,0.8675,8,171.954,9.027584,89.00428658,77.29713226,96
