id,id_site,id_person,ids,infantdir,song,praat_f0_mean,praat_f0_median,praat_f0_std,praat_f0_min,praat_f0_max,praat_f0_first_quart,praat_f0_third_quart,praat_f0_IQR,praat_f1_mean,praat_f1_median,praat_f1_std,praat_f1_min,praat_f1_max,praat_f1_first_quart,praat_f1_third_quart,praat_f1_IQR,praat_f2_mean,praat_f2_median,praat_f2_std,praat_f2_min,praat_f2_max,praat_f2_first_quart,praat_f2_third_quart,praat_f2_IQR,praat_intensity_mean,praat_intensity_median,praat_intensity_std,praat_intensity_min,praat_intensity_max,praat_intensity_first_quart,praat_intensity_third_quart,praat_intensity_IQR,praat_intensitytravel_mean,praat_intensitytravel_median,praat_intensitytravel_std,praat_intensitytravel_max,praat_intensitytravel_first_quart,praat_intensitytravel_third_quart,praat_intensitytravel_IQR,praat_voweltravel_mean,praat_voweltravel_median,praat_voweltravel_std,praat_voweltravel_max,praat_voweltravel_first_quart,praat_voweltravel_third_quart,praat_voweltravel_IQR,praat_f0travel_mean,praat_f0travel_median,praat_f0travel_std,praat_f0travel_max,praat_f0travel_first_quart,praat_f0travel_third_quart,praat_f0travel_IQR,praat_f0_range,praat_f1_range,praat_f2_range,praat_intensity_range,praat_intensitytravel_range,praat_voweltravel_range,praat_f0travel_range,praat_f0travel_rate_median,praat_f0travel_rate_IQR,praat_voweltravel_rate_median,praat_voweltravel_rate_IQR,praat_intensitytravel_rate_median,praat_intensitytravel_rate_IQR,praat_f0_travel_rate_default,praat_voweltravel_rate_default,praat_intensitytravel_rate_default,mir_attack_mean,mir_attack_std,mir_attack_range,mir_attack_min,mir_attack_1q,mir_attack_med,mir_attack_3q,mir_attack_max,mir_attack_dist,mir_attack_iqr,mir_roughness_mean,mir_roughness_std,mir_roughness_range,mir_roughness_1q,mir_roughness_med,mir_roughness_3q,mir_roughness_max,mir_roughness_dist,mir_rolloff85,mir_inharmonicity,mir_roughness_iqr,mir_tempo,mir_pulseclarity,tm_peak_hz,tm_peak_idx,tm_std_idx,tm_std_hz,npvi_phrase,npvi_total,npvi_num_events
BEJ17D,BEJ,17,0,0,0,209.87,207.27,37.06032082,100.1,544,194.8,222.15,27.35,624.43301,603.71,218.8302798,286.07,1725.6,461.42,713.4,251.98,1566.339331,1563.75,452.0650415,576.41,2696.37,1230.21,1821.07,590.86,48.12748344,48.905,6.080820698,28.76,61.02,44.1775,52.4175,8.24,3.162781457,2.42,3.480005186,38.49,1.06,4.11,3.05,278.7967464,130.3596132,386.0658684,1881.394183,56.94791755,307.7180432,250.7701256,34.6010596,3,78.91769749,544,0,12.5175,12.5175,443.9,1439.53,2119.96,32.26,38.47,1881.394183,544,2.037774245,11.25181395,67.79762774,176.1199253,1.114261682,1.762235772,14.31686248,115.3575851,1.308662442,6.4813704,4.3044634,17.708893,1.2048092,3.6739492,5.375648,8.618187,18.9137,NA,4.9442372,79.143776,1.0515277,10.243711,0.061288256,0.20898783,0.60623407,10.243711,18.557829,4134.291,0.44880795,0.54494584,65.04306,0.15757345,1.6025,21,163.1312,8.5643883,54.712234,62.124298,36
BEJ18A,BEJ,18,1,1,1,249.2834016,246.08,62.67832271,102.29,404.61,204,307.4,103.4,636.669462,586.79,237.8466904,239.48,1983.26,476.265,736.095,259.83,2078.356623,2071,416.3095708,710.41,2961.77,1861.285,2394.265,532.98,47.43782051,48.04,4.489677602,29.11,61.26,45.4,49.93,4.53,2.588211679,1.02,5.779454446,55.2,0.4375,2.38,1.9425,305.8910347,137.4591831,449.3459592,2850.79679,47.41672156,364.6197286,317.203007,22.39271898,2.43,65.70166214,392.14,0.74,6.525,5.785,302.32,1743.78,2251.36,32.15,55.2,2850.79679,392.14,1.808663037,5.257634451,98.2767459,290.2386239,0.681501401,1.985366055,13.08057029,178.6843832,1.511888075,6.4851241,8.7733412,52.401016,0.26358294,2.2027726,3.5429506,8.7469721,52.6646,231.46997,6.5441995,43.634655,0.95678616,14.59793,0.004037881,0.022888567,0.095232531,14.59793,8.470293,7618.8008,0.47443861,0.091194652,175.25485,0.056153644,1.13,12,179.9882,9.4493818,59.322426,61.027302,49
BEJ18B,BEJ,18,0,1,0,230.6961702,229.77,27.47432481,105.82,286.78,215.285,249.155,33.87,733.6697222,753.98,220.8087803,259.38,1628.2,602.1225,868.22,266.0975,1805.18123,1784.225,365.8996523,938.75,2778.76,1552.7525,1995.64,442.8875,46.11623529,47.17,4.331590962,30.04,52.52,44.985,48.805,3.82,2.778476563,1.105,5.792451784,47.73,0.44,2.9725,2.5325,223.1052433,100.5755254,321.9264612,1797.902585,46.50870316,242.4217293,195.9130261,27.78957031,3.235,71.12129456,286.78,1.425,7.2925,5.8675,180.96,1368.82,1840.01,22.48,47.72,1797.902585,286.78,2.745356265,6.852225664,90.77043552,206.1049292,0.842085066,2.738724589,17.3568283,139.3472212,1.735382739,7.5821772,4.6975784,19.820297,1.0732785,4.3049784,6.0371032,10.136364,20.893576,137.5403,5.8313861,30.434803,0.1106949,0.63269669,0.025120564,0.079956323,0.1583374,0.63289011,2.850337,5867.7979,0.41369727,0.13321684,76.476166,0.1133825,1.6025,21,166.0504,8.7176447,41.842236,54.131359,29
BEJ18C,BEJ,18,0,0,1,277.454,288.67,62.60934522,102.41,416.61,242.35,313.895,71.545,611.1486316,524.58,333.4192774,194.13,2318.59,418.605,673.595,254.99,2206.596926,2229.26,527.9981137,683.42,3468.59,1901.235,2627.72,726.485,51.94029167,52.27,5.167458067,31.36,63.08,49.5875,55.28,5.6925,3.274087137,1.2,6.583025492,55.58,0.47,3.2775,2.8075,292.9760234,106.552628,439.4566822,2785.237919,40.12651924,333.7733087,293.6467895,38.91319502,2.975,93.61814669,412.5,0.815,8.905,8.09,314.2,2124.46,2785.17,31.72,55.58,2785.237919,412.5,1.987826087,8.498849638,75.42315079,273.2160503,0.839065347,3.016192353,21.30095894,160.3741415,1.792224864,7.3507886,5.5883851,21.099419,0.283847,3.2974601,6.1284933,10.578146,21.383266,256.09201,7.2806854,123.72313,5.2097774,56.825905,0.004268589,0.04375476,0.24367954,56.825905,35.064426,6271.167,0.47028267,0.23941095,160.51073,0.17465293,1.3925,17,194.9884,10.23689,61.05027,63.316605,49
BEJ18D,BEJ,18,0,0,0,224.5876687,224.18,34.74637961,101.52,293.4,204.625,245.945,41.32,726.4336548,757.17,251.0989522,233.25,1806.87,546.57,883.78,337.21,1861.922995,1875.24,414.9563301,876.11,2813.02,1536.59,2120.44,583.85,49.3259799,50.01,5.058260962,34.95,60.91,46.75,52.59,5.84,4.132139303,1.69,8.409288252,53.07,0.74,4.51,3.77,353.5916179,159.9504631,452.1464615,2366.979078,56.81094083,488.0679303,431.2569895,42.58014925,6.15,80.38368214,289.53,1.18,16.61,15.43,191.88,1573.62,1936.91,25.96,53.03,2366.480219,289.53,9.6,28.14579112,259.0688627,575.6720748,2.496,5.227636364,47.83016416,397.1884887,4.641620678,6.9691892,6.3801875,29.830214,0.65200889,2.6205463,5.2739272,10.110317,30.482222,137.99576,7.4897714,69.346382,0.90688366,6.4624515,0.027054857,0.091659673,0.2862266,6.4627228,9.0234537,4310.5098,0.47246224,0.25917175,127.16259,0.091116518,1.4450001,18,175.1774,9.1968145,55.934605,60.584984,24
BEJ19A,BEJ,19,1,1,1,248.7887234,240.455,54.81332812,101.16,523.73,197.8,274.6975,76.8975,561.5297479,478.78,247.6439087,236,2748.29,419.82,701.905,282.085,1951.30605,1939.93,597.3017292,671.71,3375.48,1482.005,2437.82,955.815,49.75873964,49.72,5.403331574,27.88,73.32,47.195,52.885,5.69,2.441504132,0.81,5.830881411,53.85,0.33,2.15,1.82,269.1681832,93.16474517,435.3797449,2821.210495,36.18695708,256.1187477,219.9317907,22.13315702,1.93,70.5623162,523.73,0.78,5.08,4.3,422.57,2512.29,2703.77,45.44,53.84,2821.210495,523.73,1.264225352,4.360973021,68.79562994,227.634099,0.573333333,1.812466125,11.62185842,141.3370227,1.282004882,11.150118,21.010412,48.146191,0.55368245,1.2873046,1.8834012,14.486307,48.699871,52.224232,13.199002,14.768431,0.80341452,10.519916,0.001421262,0.003481209,0.013737145,10.519916,7.4762115,4143.9219,0.45464963,0.012315883,76.821075,0.26245469,1.13,12,189.7047,9.9594955,67.824806,71.222198,46
BEJ19B,BEJ,19,0,1,0,212.155618,215.77,44.42086876,103.07,327.41,189.485,241.17,51.685,655.9226506,633.995,195.7161947,187.51,1752.66,501.16,788.415,287.255,1735.773584,1697.805,481.6407852,708.06,2809.5,1332.525,2122.5425,790.0175,49.19008824,51.06,7.28219271,24.38,61.31,46.4525,53.9725,7.52,4.783090379,2.27,8.631140805,53.43,0.825,5.075,4.25,299.5621964,129.1149228,470.0055342,2720.208169,50.67028445,285.6480963,234.9778118,34.69778426,5.84,70.3830814,294.46,1.25,17.4,16.15,224.34,1565.15,2101.44,36.93,53.43,2720.208169,294.46,7.995492958,38.55666395,183.5740019,462.6583201,3.183376623,7.977650794,35.73305311,308.5001564,4.925802214,7.6834331,6.3016481,28.722486,0.1805384,3.8066916,6.1264348,9.3287106,28.903027,270.81888,5.5220189,164.5856,3.2865977,48.756203,0.043350197,0.24787124,1.0648725000000001,48.756203,41.779778,5818.3389,0.48364553,1.0215223,57.29401,0.11148527,2.7049999,42,170.86749,8.9705458,48.774189,52.645741,44
BEJ19C,BEJ,19,0,0,1,258.1790684,249.84,54.65674862,155.22,378.35,218.695,295.52,76.825,541.2251994,500.31,188.4757519,202.65,2203.05,432.255,640.79,208.535,1786.575034,1746.33,548.7875041,662.56,3276.59,1324.64,2140.64,816,51.91116689,52.72,5.484600452,22.99,62.67,49.49,55.4,5.91,2.119361413,0.92,4.4015943,51.09,0.42,2.085,1.665,240.1209393,88.30245707,413.5370737,3816.472566,32.87083149,246.4474441,213.5766126,18.32315217,2.48,59.19655956,378.35,0.99,6.0525,5.0625,223.13,2000.4,2614.03,39.68,51.09,3816.472566,378.35,1.750441558,5.407597529,64.45153317,177.7688052,0.663518519,1.560023995,10.6852918,140.0284339,1.23592245,4.1162167,4.0851531,26.407948,0.066896208,1.5662283,3.3211453,5.2155209,26.474844,184.02255,3.6492922,34.433254,0.72209007,8.4970951,0.004253485,0.03529783,0.23572962,8.4970951,11.164421,5310.0376,0.46119004,0.23147613,50.083054,0.030270228,1.1825,13,191.0298,10.02906,52.514851,57.938923,65
BEJ19D,BEJ,19,0,0,0,189.6929642,182.36,30.08486432,102.02,291.97,169.085,204.59,35.505,629.080344,603.91,198.1885258,156.52,2092.34,497.895,730.935,233.04,1747.416732,1775.21,438.0031105,729.3,2865.13,1398.115,2071.06,672.945,47.44947743,48.7,7.521239083,21.77,61.5,44.18,52.99,8.81,5.080514019,2.72,8.866368671,52.03,0.9875,5.0625,4.075,299.1856243,122.620908,479.0518853,2665.457325,44.22708392,308.0106327,263.7835488,34.16509346,3.975,66.33244794,285.71,0.4375,15.9075,15.47,189.95,1935.82,2135.83,39.73,52.03,2665.457325,285.71,6.4,30.56888199,197.681319,502.7617443,4.08,9.766492754,47.2986071,414.1965339,7.033530779,6.9718676,4.2135677,22.538757,0.17998734,3.8722997,6.5330067,9.1654911,22.718744,180.5074,5.293191,100.51714,1.3588653,14.980077,0.0429039,0.19039568,0.67959589,14.980077,19.620945,7370.5801,0.47716966,0.63669199,117.58854,0.073634557,1.76,24,159.748,8.3867722,62.056606,62.017666,59
BEJ20A,BEJ,20,1,1,1,302.971458,302.055,59.88028783,112.39,458.58,252.7025,358.525,105.8225,461.3583117,413.28,154.3987446,164.76,2134.91,369.365,508.435,139.07,1630.447485,1659.94,469.4558861,406.35,3059.87,1243.735,1890.55,646.815,50.44155034,52.065,9.937048799,19.72,65.68,46.6825,58.2,11.5175,3.724337349,1.12,7.487469456,58.7,0.47,3.135,2.665,248.2711755,98.25409101,398.5015936,2926.007405,35.33917862,262.6518811,227.3127025,28.36784471,2.83,79.67455058,392.48,0.93,6.9775,6.0475,346.19,1970.15,2653.52,45.96,58.7,2926.007405,392.48,2.937162393,9.582577778,99.15847514,276.1507912,1.243936508,3.221670628,22.72127059,198.853195,2.983013956,9.3269033,6.55233,33.244812,0.61985409,3.7682798,8.6473408,13.458422,33.864666,699.65936,9.6901417,4.9152193,0.37945423,5.5846915,7.11e-5,0.001380474,0.009311614,5.5846915,4.3521218,6240.1079,0.34728986,0.00924054,151.24074,0.21201603,0.65750003,3,172.1532,9.0380402,50.631718,49.228046,106
BEJ20B,BEJ,20,0,1,0,245.3042492,255.36,54.80674183,102.73,373.95,225.43,281.23,55.8,576.6850137,497.24,292.4887743,144.51,1869.26,367.6,683.35,315.75,1732.646356,1689.49,427.386179,711.7,3738.51,1465.79,1956.38,490.59,47.1431565,49.69,8.755650204,22.63,59.25,42.77,53.84,11.07,4.796861702,1.74,8.084607316,55.92,0.7,5.115,4.415,292.3157144,115.3915297,484.5209393,3019.104097,48.67788546,255.7145456,207.0366602,40.19066489,5.16,82.61981093,350.19,1.4875,15.7775,14.29,271.22,1724.75,3026.81,36.62,55.91,3019.104097,350.19,7.544888889,28.29323785,201.7531209,514.5971412,2.891707317,13.17410741,55.08932331,400.6769966,6.575055821,2.9919572,1.9070836,6.3856483,0.19871926,1.5091718,2.2423406,4.9716063,6.5843678,68.602379,3.4624345,55.678455,4.6231933,80.049263,0.001236916,0.019153509,0.094401464,80.049263,18.051437,10213.636,0.44645426,0.093164548,80.48494,0.07685405,1.655,22,200.8338,10.54378,69.483353,76.178314,48
